Date;Hive;ID;MB;CX;AL;ME;OTH;LO;OL;Brain;MBr;CXr;ALr;MEr;OTHr;LOr;OLr;MBRi;MBL;ALRi;ALL;MERi;MEL;LORi;LOL;OLRi;OLL;ALRL;MBRL;OLRL;>RAL. >ROL. >RMB;>RAL. >ROL. <RMB;>RAL. <ROL. <RMB;<RAL. <ROL. <RMB;>RAL. <ROL. >RMB;<RAL. >ROL. >RMB;<RAL. >ROL. <RMB;<RAL. <ROL. >RMB;>RAL. >ROL;>RAL. <ROL;<RAL. >ROL;<RAL. <ROL
16/06/2021;H2;13;0.218120873402085;0.00483395401331909;0.0578198637621486;0.166521169897976;0.332302065408458;0.0540526092910459;0.220573779189022;0.833650535775034;0.261645454590035;0.00579853764362429;0.0693574360968823;0.199749370691837;0.398610750126276;0.0648384508513437;0.264587821543181;NA;NA;0.0282021270477478;0.0296149064384928;0.0804026352321065;0.0861185346658695;0.0276462923069261;0.0264053735588171;0.108048927539033;0.112523908224687;-0.001412779390745;NA;-0.004474980685654;0;0;0;0;0;0;0;0;0;0;0;1
16/06/2021;H2;14;0.294921104884999;0.00267885674432499;0.0597383324371034;0.201333293989757;0.212132371362548;0.0740967970330725;0.27543009102283;0.844900756451807;0.349060055436015;0.00317061705042726;0.070704555512504;0.238292240186012;0.251073714566674;0.0876988172483652;0.325991057434377;NA;NA;0.0298342594745685;0.0299040729625348;0.105043669662706;0.0962627366999293;0.0417500381796479;0.032346287140668;0.146793707842354;0.128609023840597;-0.0000698134879662977;NA;0.0181846840017566;0;0;0;0;0;0;0;0;0;0;1;0
16/06/2021;H2;15;0.309505520683433;0.00381931698524311;0.0670412191231977;0.19578900039432;0.359500894041195;0.0650697052067093;0.260858705601029;1.0007256564341;0.309281088871348;0.00381654748300602;0.0669926055079737;0.195647027869734;0.359240209072094;0.0650225211958421;0.260669549065576;0.150602945189561;0.158901946722092;0.0350320197280026;0.032009199395195;0.0993470416056526;0.0964416444027779;0.0330419570440014;0.0320277481627078;0.132388998649654;0.128469392565486;0.0030228203328076;-0.00829900153253102;0.00391960608416828;0;1;0;0;0;0;0;0;1;0;0;0
16/06/2021;H2;17;0.275310063866227;0.00441437970692744;0.0631005045106877;0.184486512672078;0.277402476073799;0.0609161129567504;0.245402625628828;0.86563004978647;0.318045871829587;0.0050996146772127;0.0728954644380161;0.213123969896362;0.32046308482732;0.070371994331501;0.283495964227863;NA;NA;0.0321279926112743;0.0309704679139385;0.0901113008710125;0.0943752118010654;0.0303212666812165;0.0305948462755339;0.120432567552229;0.124970058076599;0.0011575246973358;NA;-0.00453749052437029;0;0;0;0;0;0;0;0;0;1;0;0
16/06/2021;H2;18;0.295204128260947;0.0051419517462988;0.0696998276500761;0.194774980099994;0.372827998357723;0.0668180001385896;0.261592980238584;1.00446688625363;0.293891349033887;0.00511908537420959;0.0693898709892132;0.193908811495467;0.371170024079403;0.0665208590278186;0.260429670523286;0.150500173597713;0.144703954663234;0.0337838783355687;0.0359140615515215;0.0963163418691081;0.0984586382308867;0.0334890726826113;0.0333289274559782;0.129805414551719;0.131787565686865;-0.0021301832159528;0.00579621893447901;-0.00198215113514549;0;0;0;0;0;0;0;1;0;0;0;1
16/06/2021;H2;20;0.306210997079659;0.00445858830876227;0.0687788689457876;0.201358952893952;0.373490203349933;0.0714942958909471;0.272853248784899;1.02579190646904;0.298511808436559;0.00434648419493729;0.0670495336452174;0.19629610218613;0.364099386039761;0.0696966854973962;0.265992787683526;0.153005049436092;0.153197458986913;0.0358475970492108;0.0329312718965768;0.0953216407236147;0.106037312170337;0.0337306203981477;0.0377636754927994;0.129052261121762;0.143800987663136;0.002916325152634;-0.000192409550821004;-0.014748726541374;0;0;1;0;0;0;0;0;0;1;0;0
16/06/2021;H2;21;0.248251626921373;0.00592865848443911;0.0613944055578499;0.186265723413051;0.332079559213246;0.0626728398575018;0.248938563270553;0.896592813447462;0.276883355741865;0.00661243141314395;0.0684752371835149;0.207748401079467;0.370379456797537;0.0699011177844716;0.277649518863939;0.124341925617232;0.123909386844837;0.0313780071716802;0.0300134110227835;0.0919001026207528;0.0943656207922989;0.0312383872407872;0.0314344526167146;0.12313848986154;0.125800073409014;0.0013645961488967;0.000432538772394991;-0.00266158354747351;0;0;0;0;1;0;0;0;0;1;0;0
16/06/2021;H3;22;0.264243297587133;0.005901929443615;0.0805259523721831;0.208770160720083;0.338042336532148;0.0636959332024574;0.27246609392254;0.961179609857621;0.274915629583814;0.00614029821594868;0.0837782569941443;0.217202028194302;0.351695284695253;0.0662685023165365;0.283470530510838;NA;NA;0.039604577018733;0.0409210608941463;0.105461002868038;0.103309157852045;0.0317577167810344;0.031938216421423;0.137218719649072;0.135247374273468;-0.0013164838754133;NA;0.00197134537560439;0;0;0;0;0;0;0;0;0;0;1;0
16/06/2021;H3;23;0.243134305174657;0.00396734661294176;0.0601301855259056;0.186841306859382;0.376145581732536;0.0597158133224142;0.246557120181796;0.929934539227838;0.261453139891482;0.0042662643934443;0.0646606647988729;0.200918773287552;0.404486085703263;0.0642150719253837;0.265133845212936;0.125664972997272;0.117441665444526;0.0294341026169686;0.0306934105540586;0.0915948062583893;0.0952452430222269;0.0297752208573238;0.0299310034269975;0.121370027115713;0.125176246449224;-0.00125930793709;0.008223307552746;-0.0038062193335113;0;0;0;0;0;0;0;1;0;0;0;1
16/06/2021;H3;24;0.297270468909356;0.00430323791060559;0.0678427410939235;0.195646531471606;0.232323088123508;0.0631707396231066;0.258817271094713;0.860556807132106;0.345439680966606;0.00500052742008581;0.0788358659552254;0.227348769831498;0.269968334685247;0.0734068211413371;0.300755590972835;0.148831336748963;0.148346783948002;0.0348045781523483;0.0329247335358958;0.10200056711486;0.0936459643567457;0.0326720738611094;0.0304986657619972;0.134672640975969;0.124144630118743;0.00187984461645251;0.000484552800961019;0.0105280108572265;1;0;0;0;0;0;0;0;1;0;0;0
