Site;Date;Hive;ID;BeeType;Brain;Side;MB;AL;ME;LO;OL;MBr;ALr;MEr;LOr;Olr
A;02/09/2020;H3;22;Forager;0.52146855786786;Right;0.0634535307797881;0.0145894418623088;0.072528880301367;0.0225702983436402;0.0950991786450072;0.121682371491834;0.0279776060170549;0.139085816790024;0.0432821845211989;0.182368001311223
A;02/09/2020;H3;23;Forager;0.516207814834668;Right;0.0646076879133359;0.0134536368333294;0.0688747066826269;0.0211090727476546;0.0899837794302814;0.12515829101508;0.0260624431608777;0.133424378134775;0.0408925865533738;0.174316964688149
A;02/09/2020;H3;24;Forager;0.539725812671178;Right;0.0593157539564992;0.0176481241030885;0.0715092738575326;0.0234354400091777;0.0949447138667103;0.109899790901119;0.0326983140119712;0.132491854528178;0.0434210101851391;0.175912864713318
A;02/09/2020;H3;25;Forager;0.57456760002868;Right;0.0707817802594784;0.0161062802606611;0.0782874182924228;0.0239854669926027;0.102272885285025;0.123191388195132;0.028032002256753;0.136254495186493;0.0417452480637708;0.177999743250263
A;02/09/2020;H3;26;Forager;0.56998683420549;Right;NA;0.0129677800583551;0.0851923506023496;0.0255708591102353;0.110763209712585;NA;0.0227510168308203;0.1494637165104;0.0448621925555154;0.194325909065915
A;02/09/2020;H3;27;Forager;0.536736535331489;Right;0.0603391819751231;0.0169136428853779;0.0764608981267426;0.0246143112184998;0.101075209345243;0.112418622551673;0.0315120022059464;0.142455176969685;0.0458592057708499;0.188314382740536
A;02/09/2020;H3;28;Forager;0.591114765253533;Right;0.0712263039413073;0.0158279444202725;0.083278951108146;0.0253810342206925;0.108659985328838;0.120494882090719;0.0267764321763876;0.140884572680953;0.0429375744146848;0.183822147095637
A;02/09/2020;H3;29;Forager;0.575335143087993;Right;0.0705468852381354;0.0173753283777024;0.0763775504058247;0.0236191566352207;0.0999967070410454;0.122618765923961;0.0302003598884016;0.132753146272074;0.041052866175443;0.173806012447516
A;02/09/2020;H3;30;Forager;0.54489322976343;Right;0.0633211910788292;0.0154557454334293;0.0746932712262791;0.0226897029814257;0.0973829742077049;0.11620843794723;0.0283647228286164;0.137078728723988;0.0416406402980573;0.178719369022046
A;02/09/2020;H3;31;Forager;0.553952274541625;Right;0.0623819779595038;0.0154958072396774;0.0767758829385506;0.0241866042391234;0.100962487177674;0.1126125495398;0.0279731809974056;0.138596565926333;0.043661891738123;0.182258457664456
A;02/09/2020;H3;32;Forager;0.435561203396221;Right;0.0594723324285229;0.0153807265015491;0.0747014108300711;0.021997047624447;0.096698458454518;0.13654184983602;0.0353124345823739;0.171506117274905;0.0505027707998978;0.222008888074803
A;02/09/2020;H3;33;Forager;0.568512107579828;Right;NA;0.0163554017980443;0.0789509877916451;0.0245518605255563;0.103502848317201;NA;0.0287687836019354;0.138873010335245;0.0431861700009772;0.182059180336221
A;02/09/2020;H3;34;Forager;0.489203760370572;Right;NA;0.013985101670317;0.0725555603527658;0.0222292026798562;0.0947847630326221;NA;0.0285874778634638;0.148313578574713;0.0454395580749779;0.193753136649691
